GameController/List: 	7375ms

GameController/GetCount: 	7382ms

GameController/List: 	7432ms

GameController/GetCount: 	7437ms

GameController/List: 	1071ms

GameController/GetCount: 	1076ms

GameController/List: 	1109ms

GameController/GetCount: 	1112ms

GameController/List: 	1156ms

GameController/GetCount: 	1157ms

GameController/List: 	1171ms

GameController/GetCount: 	1171ms

GameController/List: 	1194ms

GameController/GetCount: 	1195ms

GameController/Details: 	1272ms

GameController/GetCount: 	1274ms

GameController/Details: 	1313ms

GameController/GetCount: 	1313ms

GameController/Details: 	1343ms

GameController/GetCount: 	1343ms

PublisherController/Details: 	1974ms

GameController/GetCount: 	1977ms

PublisherController/Details: 	2012ms

GameController/GetCount: 	2016ms

PublisherController/Details: 	2044ms

GameController/GetCount: 	2046ms

PublisherController/Details: 	2077ms

GameController/GetCount: 	2078ms

PublisherController/Details: 	2089ms

GameController/GetCount: 	2089ms

PublisherController/Details: 	2101ms

GameController/GetCount: 	2101ms

PublisherController/Details: 	2113ms

GameController/GetCount: 	2113ms

PublisherController/Details: 	2155ms

GameController/GetCount: 	2155ms

PublisherController/Details: 	2167ms

GameController/GetCount: 	2167ms

OrderController/Details: 	6550ms

GameController/GetCount: 	6553ms

OrderController/Details: 	6570ms

GameController/GetCount: 	6571ms

OrderController/Add: 	13921ms

GameController/List: 	13943ms

GameController/GetCount: 	13944ms

GameController/Details: 	13955ms

GameController/GetCount: 	13956ms

OrderController/Add: 	14042ms

GameController/List: 	14053ms

GameController/GetCount: 	14053ms

OrderController/Details: 	14074ms

GameController/GetCount: 	14074ms

OrderController/Make: 	17537ms

GameController/GetCount: 	17537ms

GameController/List: 	1141ms

GameController/GetCount: 	1145ms

OrderController/Details: 	1221ms

GameController/GetCount: 	1221ms

OrderController/Make: 	1245ms

GameController/GetCount: 	1245ms

GameController/List: 	1286ms

GameController/GetCount: 	1288ms

OrderController/Make: 	1320ms

GameController/GetCount: 	1320ms

OrderController/Make: 	1368ms

GameController/GetCount: 	1368ms

OrderController/Make: 	1224ms

GameController/GetCount: 	1308ms

OrderController/Make: 	1333ms

GameController/GetCount: 	1334ms

GameController/Details: 	90845ms

GameController/List: 	91035ms

GameController/GetCount: 	91040ms

GameController/List: 	91053ms

GameController/GetCount: 	91053ms

GameController/List: 	91065ms

GameController/GetCount: 	91066ms

GameController/List: 	91098ms

GameController/GetCount: 	91099ms

GameController/Filter: 	91276ms

GameController/List: 	91304ms

GameController/List: 	1462ms

GameController/GetCount: 	1468ms

GameController/Filter: 	1509ms

GameController/List: 	1534ms

GameController/List: 	1134ms

GameController/GetCount: 	1140ms

GameController/Filter: 	1173ms

GameController/List: 	1186ms

GameController/List: 	1076ms

GameController/GetCount: 	1084ms

GameController/Filter: 	1133ms

GameController/List: 	1024ms

GameController/GetCount: 	1029ms

GameController/Filter: 	1064ms

GameController/List: 	1109ms

GameController/GetCount: 	1111ms

GameController/Filter: 	1141ms

GameController/List: 	1161ms

GameController/GetCount: 	1162ms

GameController/Filter: 	1189ms

GameController/List: 	1230ms

GameController/GetCount: 	1232ms

GameController/Filter: 	1256ms

GameController/List: 	1280ms

GameController/GetCount: 	1281ms

GameController/Filter: 	1308ms

GameController/List: 	1347ms

GameController/GetCount: 	1349ms

GameController/Filter: 	1376ms

GameController/Details: 	1415ms

GameController/GetCount: 	1416ms

GameController/List: 	1075ms

GameController/GetCount: 	1080ms

GameController/Filter: 	1121ms

CommentController/List: 	8771ms

CommentController/Create: 	8772ms

GameController/GetCount: 	8779ms

CommentController/List: 	11032ms

CommentController/Create: 	11032ms

GameController/GetCount: 	11033ms

CommentController/List: 	14077ms

CommentController/Create: 	14078ms

GameController/GetCount: 	14080ms

CommentController/List: 	19326ms

CommentController/Create: 	19326ms

GameController/GetCount: 	19327ms

CommentController/List: 	19350ms

CommentController/Create: 	19351ms

GameController/GetCount: 	19352ms

CommentController/List: 	19373ms

CommentController/Create: 	19373ms

GameController/GetCount: 	19377ms

CommentController/Create: 	24392ms

CommentController/List: 	24402ms

CommentController/Create: 	24403ms

GameController/GetCount: 	24405ms

CommentController/List: 	24428ms

CommentController/Create: 	24429ms

GameController/GetCount: 	24429ms

CommentController/List: 	24444ms

CommentController/Create: 	24445ms

GameController/GetCount: 	24445ms

CommentController/List: 	24454ms

CommentController/Create: 	24454ms

GameController/GetCount: 	24455ms

CommentController/List: 	24464ms

CommentController/Create: 	24465ms

GameController/GetCount: 	24465ms

CommentController/Create: 	24500ms

CommentController/List: 	24509ms

CommentController/Create: 	24509ms

GameController/GetCount: 	24510ms

CommentController/Create: 	24523ms

CommentController/List: 	24532ms

CommentController/Create: 	24532ms

GameController/GetCount: 	24535ms

CommentController/Create: 	24562ms

CommentController/List: 	24571ms

CommentController/Create: 	24572ms

GameController/GetCount: 	24572ms

CommentController/Create: 	24595ms

CommentController/List: 	24605ms

CommentController/Create: 	24606ms

GameController/GetCount: 	24606ms

CommentController/Create: 	24841ms

CommentController/List: 	24861ms

CommentController/Create: 	24861ms

GameController/GetCount: 	24862ms

CommentController/Create: 	24902ms

CommentController/List: 	24913ms

CommentController/Create: 	24913ms

GameController/GetCount: 	24914ms

CommentController/Create: 	24961ms

CommentController/List: 	24972ms

CommentController/Create: 	24973ms

GameController/GetCount: 	24975ms

OrderController/Details: 	25069ms

GameController/GetCount: 	25070ms

GameController/List: 	25083ms

GameController/GetCount: 	25083ms

GameController/Filter: 	25152ms

GameController/List: 	1395ms

GameController/GetCount: 	1400ms

GameController/Filter: 	1433ms

GameController/List: 	1193ms

GameController/GetCount: 	1198ms

GameController/Filter: 	1240ms

GameController/List: 	1130ms

GameController/GetCount: 	1135ms

GameController/Filter: 	1168ms

GameController/List: 	1372ms

GameController/GetCount: 	1377ms

GameController/Filter: 	1410ms

CommentController/Create: 	13ms

CommentController/Create: 	13ms

GameController/List: 	1894ms

GameController/GetCount: 	1899ms

GameController/Filter: 	1949ms

GameController/List: 	1963ms

GameController/List: 	1141ms

GameController/Filter: 	1205ms

GameController/List: 	1223ms

GameController/List: 	1233ms

GameController/GetCount: 	1246ms

GameController/Filter: 	1276ms

GameController/List: 	1291ms

GameController/List: 	1092ms

GameController/GetCount: 	1097ms

GameController/Filter: 	1131ms

GameController/List: 	1145ms

GameController/List: 	993ms

GameController/GetCount: 	998ms

GameController/Filter: 	1032ms

GameController/List: 	1046ms

GameController/GetCount: 	1046ms

GameController/Filter: 	1047ms

GameController/List: 	1415ms

GameController/GetCount: 	1420ms

GameController/Filter: 	1472ms

GameController/List: 	1487ms

GameController/GetCount: 	1488ms

GameController/Filter: 	1489ms

GameController/List: 	982ms

GameController/GetCount: 	987ms

