
CommentController/Index: 	1306ms

CommentController/Create: 	1307ms

GameController/GetCount: 	1307ms

CommentController/Create: 	3902ms

CommentController/Index: 	3914ms

CommentController/Create: 	3915ms

GameController/GetCount: 	3916ms

CommentController/Create: 	5297ms

CommentController/Index: 	5325ms

CommentController/Create: 	5326ms

GameController/GetCount: 	5326ms

CommentController/Create: 	35636ms

CommentController/Index: 	35656ms

CommentController/Create: 	35657ms

GameController/GetCount: 	35660ms

CommentController/Create: 	66255ms

CommentController/Index: 	66277ms

CommentController/Create: 	66278ms

GameController/GetCount: 	66282ms

CommentController/Index: 	66315ms

CommentController/Create: 	66315ms

GameController/GetCount: 	66319ms

GameController/Index: 	1435ms

GameController/GetCount: 	1444ms

GameController/Details: 	1464ms

GameController/GetCount: 	1464ms

CommentController/Index: 	1579ms

CommentController/Create: 	1580ms

GameController/GetCount: 	1580ms

CommentController/Index: 	1615ms

CommentController/Create: 	1616ms

GameController/GetCount: 	1617ms

CommentController/Delete: 	1617ms

CommentController/Delete: 	1648ms

CommentController/Index: 	1648ms

CommentController/Create: 	1649ms

GameController/GetCount: 	1649ms

CommentController/Index: 	1742ms

CommentController/Create: 	1742ms

GameController/GetCount: 	1743ms

CommentController/Index: 	1770ms

CommentController/Create: 	1771ms

GameController/GetCount: 	1771ms

CommentController/Delete: 	1771ms

GameController/Index: 	1116ms

GameController/GetCount: 	1126ms

GameController/Details: 	1192ms

GameController/GetCount: 	1192ms

CommentController/Index: 	1321ms

CommentController/Create: 	1322ms

GameController/GetCount: 	1323ms

CommentController/Index: 	1364ms

CommentController/Create: 	1365ms

GameController/GetCount: 	1366ms

CommentController/Delete: 	1366ms

CommentController/Index: 	1382ms

CommentController/Create: 	1383ms

GameController/GetCount: 	1383ms

CommentController/Delete: 	1398ms

CommentController/Index: 	1398ms

CommentController/Create: 	1399ms

GameController/GetCount: 	1400ms

CommentController/Index: 	1480ms

CommentController/Create: 	1480ms

GameController/GetCount: 	1481ms

CommentController/Delete: 	1493ms

CommentController/Index: 	1493ms

CommentController/Create: 	1494ms

GameController/GetCount: 	1494ms

CommentController/Index: 	1547ms

CommentController/Create: 	1548ms

GameController/GetCount: 	1548ms

CommentController/Delete: 	1562ms

CommentController/Index: 	1562ms

CommentController/Create: 	1562ms

GameController/GetCount: 	1563ms

CommentController/Index: 	1619ms

CommentController/Create: 	1619ms

GameController/GetCount: 	1619ms

GameController/Index: 	1603ms

GameController/GetCount: 	1612ms

GameController/Details: 	1634ms

GameController/GetCount: 	1634ms

CommentController/Index: 	1750ms

CommentController/Create: 	1750ms

GameController/GetCount: 	1751ms

CommentController/Index: 	1773ms

CommentController/Create: 	1773ms

GameController/GetCount: 	1774ms

CommentController/Delete: 	1774ms

CommentController/Index: 	1784ms

CommentController/Create: 	1785ms

GameController/GetCount: 	1786ms

CommentController/Delete: 	1801ms

CommentController/Index: 	1801ms

CommentController/Create: 	1802ms

GameController/GetCount: 	1802ms

CommentController/Index: 	1822ms

CommentController/Create: 	1823ms

GameController/GetCount: 	1824ms

CommentController/Index: 	1859ms

CommentController/Create: 	1859ms

GameController/GetCount: 	1860ms

CommentController/Delete: 	1872ms

CommentController/Index: 	1872ms

CommentController/Create: 	1872ms

GameController/GetCount: 	1873ms

CommentController/Index: 	1905ms

CommentController/Create: 	1905ms

GameController/GetCount: 	1906ms

CommentController/Index: 	1919ms

CommentController/Create: 	1919ms

GameController/GetCount: 	1920ms

CommentController/Index: 	1945ms

CommentController/Create: 	1945ms

GameController/GetCount: 	1946ms

CommentController/Delete: 	1955ms

CommentController/Index: 	1955ms

CommentController/Create: 	1956ms

GameController/GetCount: 	1957ms

CommentController/Index: 	1964ms

CommentController/Create: 	1964ms

GameController/GetCount: 	1970ms

CommentController/Index: 	1114ms

CommentController/Create: 	1115ms

GameController/Index: 	1115ms

GameController/GetCount: 	1124ms

GameController/GetCount: 	1125ms

GameController/Details: 	1183ms

GameController/GetCount: 	1184ms

CommentController/Index: 	1192ms

CommentController/Create: 	1192ms

GameController/GetCount: 	1193ms

GameController/Index: 	1221ms

GameController/GetCount: 	1230ms

CommentController/Index: 	1315ms

CommentController/Create: 	1316ms

GameController/GetCount: 	1317ms

CommentController/Create: 	4592ms

CommentController/Index: 	4602ms

CommentController/Create: 	4602ms

GameController/GetCount: 	4603ms

CommentController/Create: 	4604ms

CommentController/Create: 	8244ms

CommentController/Index: 	8253ms

CommentController/Create: 	8253ms

GameController/GetCount: 	8254ms

CommentController/Delete: 	8272ms

CommentController/Index: 	8272ms

CommentController/Create: 	8272ms

GameController/GetCount: 	8273ms

CommentController/Index: 	8285ms

CommentController/Create: 	8286ms

GameController/GetCount: 	8296ms

CommentController/Delete: 	8313ms

CommentController/Index: 	8313ms

CommentController/Create: 	8314ms

GameController/GetCount: 	8314ms

CommentController/Index: 	8331ms

CommentController/Create: 	8332ms

GameController/GetCount: 	8333ms

CommentController/Delete: 	8348ms

CommentController/Delete: 	8348ms
CommentController/Index: 	8348ms

CommentController/Create: 	8348ms

GameController/GetCount: 	8349ms

CommentController/Index: 	8354ms

CommentController/Create: 	8355ms

GameController/GetCount: 	8363ms

CommentController/Index: 	8371ms

CommentController/Create: 	8372ms

GameController/GetCount: 	8372ms

GameController/Index: 	1161ms

GameController/GetCount: 	1170ms

GameController/Details: 	1203ms

GameController/GetCount: 	1204ms

CommentController/Index: 	1304ms

GameController/GetCount: 	1304ms

CommentController/Index: 	1325ms

GameController/GetCount: 	1326ms

CommentController/Index: 	1344ms

GameController/GetCount: 	1345ms

GameController/Index: 	1067ms

GameController/GetCount: 	1075ms

GameController/Details: 	1108ms

GameController/GetCount: 	1109ms

CommentController/Index: 	1190ms

GameController/GetCount: 	1190ms

CommentController/Index: 	4350ms

CommentController/Index: 	4368ms

GameController/GetCount: 	4369ms

GameController/Index: 	1228ms

GameController/GetCount: 	1236ms

GameController/Details: 	1260ms

GameController/GetCount: 	1261ms

CommentController/Index: 	1604ms

GameController/GetCount: 	1604ms

CommentController/Index: 	4476ms

CommentController/Index: 	4496ms

GameController/GetCount: 	4497ms

CommentController/Delete: 	4522ms

CommentController/Index: 	4524ms

GameController/GetCount: 	4525ms

CommentController/Index: 	4525ms

GameController/GetCount: 	4526ms

CommentController/Delete: 	4548ms

