GameController/Index: 	12508ms

GameController/GetCount: 	12541ms

GameController/Index: 	12651ms

GameController/GetCount: 	12652ms

AccountController/Index: 	12877ms

GameController/GetCount: 	12877ms

AccountController/IndexRoles: 	12887ms

GameController/GetCount: 	12888ms

GameController/Index: 	12986ms

GameController/GetCount: 	12987ms

AccountController/Login: 	13021ms

GameController/GetCount: 	13022ms

AccountController/Index: 	13097ms

GameController/GetCount: 	13097ms

AccountController/IndexRoles: 	13103ms

GameController/GetCount: 	13104ms

AccountController/Login: 	13105ms

GameController/GetCount: 	13106ms

GameController/Index: 	13201ms

GameController/GetCount: 	13201ms

AccountController/Login: 	13202ms

GameController/GetCount: 	13202ms

GameController/Index: 	13299ms

GameController/GetCount: 	13300ms

GameController/Index: 	4503ms

GameController/GetCount: 	4548ms

GameController/Index: 	1190ms

GameController/GetCount: 	1212ms

GameController/Index: 	7167ms

GameController/GetCount: 	7202ms

GameController/Index: 	1072ms

GameController/GetCount: 	1111ms

GameController/Index: 	4229ms

GameController/GetCount: 	4257ms

GameController/Index: 	13287ms

GameController/GetCount: 	13326ms

GameController/Index: 	1091ms

GameController/GetCount: 	1104ms

GameController/Index: 	159681ms

GameController/GetCount: 	159737ms

GameController/Index: 	3828ms

GameController/GetCount: 	3890ms

GameController/Index: 	4177ms

GameController/GetCount: 	4230ms

GameController/Index: 	5038ms

GameController/GetCount: 	5088ms

GameController/Index: 	1110ms

GameController/GetCount: 	1147ms

GameController/Index: 	585ms

GameController/GetCount: 	600ms

AccountController/Login: 	639ms

GameController/GetCount: 	648ms

AccountController/Logout: 	661ms

GameController/Index: 	773ms

GameController/GetCount: 	773ms

AccountController/Login: 	774ms

GameController/GetCount: 	774ms

AccountController/Login: 	1828ms

GameController/Index: 	1922ms

GameController/GetCount: 	1923ms

GameController/New: 	1981ms

GameController/GetCount: 	1981ms

GameController/Index: 	3804ms

GameController/GetCount: 	3817ms

GameController/New: 	4510ms

GameController/GetCount: 	4519ms

GameController/Index: 	3231ms

GameController/GetCount: 	3578ms

GameController/Index: 	526737ms

GameController/Index: 	526737ms
GameController/Index: 	526737ms

GameController/GetCount: 	526766ms

GameController/GetCount: 	526766ms

GameController/Index: 	701ms

GameController/GetCount: 	730ms

GameController/Index: 	1347ms

GameController/GetCount: 	1360ms

GameController/Index: 	1304ms

GameController/GetCount: 	1320ms

GameController/Index: 	634ms

GameController/GetCount: 	648ms

GameController/Index: 	1348ms

GameController/GetCount: 	1382ms

GameController/Index: 	642ms

GameController/GetCount: 	655ms

GameController/Index: 	2837ms

GameController/GetCount: 	2891ms

GameController/Details: 	2925ms

GameController/GetCount: 	2926ms

CommentController/Index: 	3133ms

GameController/GetCount: 	3134ms

CommentController/Index: 	3665ms

CommentController/Index: 	3732ms

GameController/GetCount: 	3733ms

GameController/Index: 	1118ms

GameController/GetCount: 	1136ms

GameController/Index: 	1576ms

