GameController/List: 	5790ms

GameController/GetCount: 	5816ms

CommentController/List: 	6084ms

CommentController/Create: 	6085ms

GameController/GetCount: 	6086ms

CommentController/List: 	6121ms

CommentController/Create: 	6122ms

GameController/GetCount: 	6123ms

CommentController/List: 	6135ms

CommentController/Create: 	6136ms

GameController/GetCount: 	6137ms

CommentController/List: 	6147ms

CommentController/Create: 	6147ms

GameController/GetCount: 	6148ms

CommentController/List: 	6158ms

CommentController/Create: 	6158ms

GameController/GetCount: 	6159ms

CommentController/List: 	6167ms

CommentController/Create: 	6167ms

GameController/GetCount: 	6168ms

CommentController/List: 	6181ms

CommentController/Create: 	6182ms

GameController/GetCount: 	6182ms

CommentController/List: 	6190ms

CommentController/Create: 	6190ms

GameController/GetCount: 	6192ms

CommentController/List: 	6205ms

CommentController/Create: 	6206ms

GameController/GetCount: 	6206ms

CommentController/List: 	6215ms

CommentController/Create: 	6216ms

GameController/GetCount: 	6216ms

CommentController/List: 	6228ms

CommentController/Create: 	6228ms

GameController/GetCount: 	6229ms

CommentController/List: 	6237ms

CommentController/Create: 	6238ms

GameController/GetCount: 	6239ms

CommentController/List: 	6248ms

CommentController/Create: 	6249ms

GameController/GetCount: 	6249ms

CommentController/List: 	6259ms

CommentController/Create: 	6260ms

GameController/GetCount: 	6260ms

GameController/List: 	1720ms

GameController/GetCount: 	1727ms

CommentController/List: 	1889ms

CommentController/List: 	1897ms

CommentController/Create: 	1898ms

CommentController/Create: 	1898ms
CommentController/Create: 	1898ms

GameController/GetCount: 	1898ms

GameController/GetCount: 	1898ms

CommentController/List: 	1914ms

CommentController/Create: 	1916ms

GameController/GetCount: 	1917ms

CommentController/List: 	1930ms

CommentController/Create: 	1931ms

GameController/GetCount: 	1931ms

CommentController/List: 	1944ms

CommentController/Create: 	1945ms

GameController/GetCount: 	1945ms

CommentController/List: 	1956ms

CommentController/Create: 	1956ms

GameController/GetCount: 	1957ms

CommentController/List: 	1967ms

CommentController/Create: 	1967ms

GameController/GetCount: 	1968ms

CommentController/List: 	1978ms

CommentController/Create: 	1978ms

GameController/GetCount: 	1979ms

CommentController/List: 	1989ms

CommentController/Create: 	1989ms

GameController/GetCount: 	1990ms

CommentController/List: 	2003ms

CommentController/Create: 	2003ms

GameController/GetCount: 	2005ms

CommentController/List: 	2017ms

CommentController/Create: 	2018ms

GameController/GetCount: 	2018ms

CommentController/List: 	2030ms

CommentController/Create: 	2030ms

GameController/GetCount: 	2031ms

CommentController/List: 	2042ms

CommentController/Create: 	2042ms

GameController/GetCount: 	2043ms

CommentController/List: 	2057ms

CommentController/Create: 	2058ms

GameController/GetCount: 	2058ms

CommentController/List: 	2070ms

CommentController/Create: 	2070ms

GameController/GetCount: 	2071ms

CommentController/List: 	2084ms

CommentController/Create: 	2085ms

GameController/GetCount: 	2085ms

CommentController/List: 	2097ms

CommentController/Create: 	2098ms

GameController/GetCount: 	2098ms

CommentController/List: 	2106ms

CommentController/Create: 	2106ms

GameController/GetCount: 	2107ms

GameController/List: 	1226ms

GameController/GetCount: 	1232ms

CommentController/List: 	1317ms

CommentController/List: 	1329ms

CommentController/Create: 	1330ms

CommentController/Create: 	1330ms
CommentController/Create: 	1330ms

GameController/GetCount: 	1330ms

GameController/GetCount: 	1330ms

CommentController/List: 	1356ms

CommentController/Create: 	1358ms

CommentController/List: 	2727ms

CommentController/Create: 	2728ms

GameController/GetCount: 	2735ms

CommentController/List: 	2748ms

CommentController/Create: 	2749ms

GameController/GetCount: 	2749ms

CommentController/List: 	2756ms

CommentController/Create: 	2757ms

