GameController/Create: 	13871ms

GameController/GetCount: 	13874ms

GameController/Create: 	13942ms

GameController/List: 	13998ms

GameController/GetCount: 	13999ms

GameController/Create: 	14043ms

GameController/GetCount: 	14043ms

GameController/Create: 	14085ms

GameController/List: 	14138ms

GameController/GetCount: 	14139ms

GameController/List: 	14157ms

GameController/GetCount: 	14159ms

GameController/List: 	14174ms

GameController/GetCount: 	14175ms

GameController/List: 	14193ms

GameController/GetCount: 	14194ms

GameController/List: 	14213ms

GameController/GetCount: 	14214ms

GameController/List: 	14229ms

GameController/GetCount: 	14230ms

GameController/List: 	14247ms

GameController/GetCount: 	14247ms

GameController/List: 	14264ms

GameController/GetCount: 	14264ms

GameController/List: 	7161ms

GameController/GetCount: 	7166ms

GameController/List: 	7187ms

GameController/GetCount: 	7188ms

GameController/List: 	7221ms

GameController/GetCount: 	7222ms

GameController/List: 	7256ms

GameController/GetCount: 	7256ms

GameController/List: 	7275ms

GameController/GetCount: 	7276ms

GameController/List: 	7302ms

GameController/GetCount: 	7304ms

GameController/List: 	976ms

GameController/GetCount: 	982ms

GameController/List: 	1001ms

GameController/GetCount: 	1002ms

GameController/List: 	1034ms

GameController/List: 	948ms

GameController/GetCount: 	953ms

GameController/List: 	975ms

GameController/GetCount: 	976ms

GameController/List: 	957ms

GameController/GetCount: 	963ms

GameController/List: 	991ms

GameController/GetCount: 	992ms

GameController/List: 	1020ms

GameController/GetCount: 	1021ms

GameController/List: 	1045ms

GameController/GetCount: 	1046ms

GameController/List: 	1062ms

GameController/List: 	909ms

GameController/GetCount: 	913ms

GameController/List: 	930ms

GameController/GetCount: 	931ms

GameController/List: 	962ms

GameController/GetCount: 	964ms

GameController/List: 	119486ms

GameController/GetCount: 	119489ms

GameController/List: 	18673ms

GameController/List: 	18673ms
GameController/List: 	18673ms

GameController/GetCount: 	18679ms

GameController/GetCount: 	18679ms
GameController/GetCount: 	18679ms

GameController/List: 	56508ms

GameController/GetCount: 	56508ms

GameController/List: 	22052ms

GameController/GetCount: 	22057ms

GameController/List: 	3256ms

GameController/GetCount: 	3260ms

GameController/List: 	4978ms

GameController/GetCount: 	4979ms

GameController/List: 	59713ms

GameController/GetCount: 	59716ms

GameController/List: 	4473ms

GameController/GetCount: 	4478ms

GameController/List: 	62822ms

GameController/GetCount: 	62825ms

GameController/List: 	65268ms

GameController/GetCount: 	65269ms

GameController/List: 	81594ms

GameController/GetCount: 	81594ms

GameController/List: 	81594ms

GameController/GetCount: 	81596ms

GameController/List: 	81615ms

GameController/GetCount: 	81615ms

GameController/List: 	81631ms

GameController/GetCount: 	81632ms

GameController/List: 	81652ms

GameController/GetCount: 	81653ms

GameController/List: 	81669ms

GameController/GetCount: 	81670ms

GameController/List: 	81686ms

GameController/GetCount: 	81687ms

GameController/List: 	1006ms

GameController/GetCount: 	1011ms

GameController/List: 	1091ms

GameController/GetCount: 	1091ms

GameController/List: 	1119ms

GameController/GetCount: 	1119ms

GameController/List: 	1134ms

GameController/GetCount: 	1134ms

GameController/List: 	1151ms

GameController/GetCount: 	1151ms

GameController/List: 	1167ms

GameController/GetCount: 	1168ms

GameController/List: 	1184ms

GameController/GetCount: 	1186ms

GameController/List: 	1218ms

GameController/GetCount: 	1218ms

GameController/List: 	1244ms

GameController/GetCount: 	1245ms

GameController/List: 	1264ms

GameController/GetCount: 	1265ms

GameController/List: 	1286ms

GameController/GetCount: 	1288ms

GameController/List: 	1303ms

GameController/GetCount: 	1304ms

GameController/List: 	1320ms

GameController/GetCount: 	1321ms

GameController/List: 	1337ms

GameController/GetCount: 	1338ms

GameController/List: 	1354ms

GameController/GetCount: 	1355ms

GameController/List: 	1369ms

GameController/GetCount: 	1369ms

GameController/List: 	1385ms

GameController/GetCount: 	1385ms

GameController/List: 	1398ms

GameController/GetCount: 	1399ms

GameController/List: 	1415ms

GameController/GetCount: 	1416ms

GameController/List: 	1431ms

GameController/GetCount: 	1432ms

GameController/List: 	1447ms

GameController/GetCount: 	1448ms

GameController/List: 	1463ms

GameController/GetCount: 	1463ms

GameController/List: 	1479ms

GameController/GetCount: 	1480ms

GameController/List: 	1510ms

GameController/GetCount: 	1513ms

GameController/List: 	1517ms

GameController/GetCount: 	1517ms

GameController/List: 	1534ms

GameController/GetCount: 	1535ms

GameController/List: 	1548ms

GameController/GetCount: 	1549ms

GameController/List: 	1579ms

GameController/GetCount: 	1581ms

GameController/List: 	1599ms

GameController/GetCount: 	1599ms

GameController/List: 	1615ms

GameController/GetCount: 	1616ms

GameController/List: 	1632ms

GameController/GetCount: 	1632ms

GameController/List: 	1650ms

GameController/GetCount: 	1650ms

GameController/List: 	1669ms

GameController/GetCount: 	1670ms

GameController/List: 	1676ms

GameController/GetCount: 	1677ms

GameController/List: 	1692ms

GameController/GetCount: 	1692ms

GameController/List: 	1723ms

GameController/GetCount: 	1724ms

GameController/List: 	1740ms

GameController/GetCount: 	1742ms

GameController/List: 	1767ms

GameController/GetCount: 	1767ms

GameController/List: 	1834ms

GameController/GetCount: 	1835ms

GameController/List: 	1864ms

GameController/GetCount: 	1865ms

GameController/List: 	1898ms

GameController/GetCount: 	1901ms

GameController/List: 	887ms

GameController/GetCount: 	892ms

GameController/List: 	908ms

GameController/GetCount: 	908ms

GameController/List: 	936ms

GameController/GetCount: 	936ms

GameController/List: 	7165ms

GameController/GetCount: 	7170ms

GameController/List: 	3438ms

GameController/GetCount: 	3443ms

GameController/List: 	4713ms

GameController/GetCount: 	4718ms

GameController/List: 	4751ms

GameController/GetCount: 	4752ms

GameController/List: 	4768ms

GameController/GetCount: 	4769ms

GameController/List: 	4787ms

GameController/GetCount: 	4788ms

GameController/List: 	1144ms

GameController/GetCount: 	1152ms

