GameController/Index: 	4864ms

GameController/GetCount: 	4882ms

GameController/Index: 	4993ms

GameController/GetCount: 	4994ms

GameController/Index: 	1845ms

GameController/GetCount: 	1898ms

GameController/ChangeLanguage: 	1940ms

GameController/Index: 	2047ms

GameController/GetCount: 	2047ms

GameController/ChangeLanguage: 	2048ms

GameController/Index: 	2164ms

GameController/GetCount: 	2165ms

GameController/Index: 	2266ms

GameController/GetCount: 	2267ms

GameController/Index: 	2367ms

GameController/GetCount: 	2368ms

GameController/ChangeLanguage: 	2369ms

GameController/Index: 	2478ms

GameController/GetCount: 	2479ms

GameController/ChangeLanguage: 	2479ms

GameController/Index: 	2587ms

GameController/GetCount: 	2588ms

GameController/ChangeLanguage: 	2588ms

GameController/Index: 	2770ms

GameController/GetCount: 	2771ms

GameController/ChangeLanguage: 	2771ms

GameController/Index: 	2886ms

GameController/GetCount: 	2886ms

GameController/Index: 	1662ms

GameController/GetCount: 	1678ms

GameController/Index: 	1783ms

GameController/GetCount: 	1784ms

GameController/Details: 	1808ms

GameController/GetCount: 	1809ms

GameController/Details: 	1834ms

GameController/GetCount: 	1834ms

GameController/Index: 	1526ms

GameController/GetCount: 	1544ms

GameController/Index: 	1650ms

GameController/GetCount: 	1651ms

GameController/Details: 	1678ms

GameController/GetCount: 	1679ms

GameController/Index: 	17196ms

GameController/GetCount: 	28342ms

GameController/Index: 	54555ms

GameController/GetCount: 	61338ms

PublisherController/Index: 	89031ms

GameController/GetCount: 	91581ms

PublisherController/ChangeLanguage: 	92765ms

PublisherController/Index: 	101073ms

GameController/GetCount: 	106582ms

GameController/Index: 	113394ms

GameController/GetCount: 	114908ms

OrderController/History: 	114910ms

GameController/GetCount: 	114910ms

OrderController/History: 	115735ms

GameController/GetCount: 	115735ms

OrderController/Details: 	115850ms

GameController/GetCount: 	115861ms

OrderController/Make: 	115878ms

GameController/GetCount: 	115879ms

OrderController/Pay: 	115931ms

OrderController/Details: 	115935ms

GameController/GetCount: 	115936ms

GameController/Index: 	116063ms

GameController/GetCount: 	116063ms

GameController/Index: 	116185ms

GameController/GetCount: 	116186ms

GameController/Index: 	116290ms

GameController/GetCount: 	116290ms

GameController/Index: 	4049ms

GameController/GetCount: 	4068ms

GameController/ChangeLanguage: 	4069ms

GameController/Index: 	4228ms

GameController/GetCount: 	4228ms

GameController/Index: 	4350ms

GameController/GetCount: 	4351ms

GameController/Index: 	4457ms

GameController/GetCount: 	4458ms

PublisherController/Index: 	4500ms

GameController/GetCount: 	4501ms

PublisherController/Index: 	4546ms

GameController/GetCount: 	4547ms

OrderController/History: 	4548ms

GameController/GetCount: 	4548ms

OrderController/ChangeLanguage: 	4549ms

OrderController/History: 	4550ms

GameController/GetCount: 	4551ms

GameController/Index: 	4652ms

GameController/GetCount: 	4653ms

PublisherController/Index: 	4695ms

GameController/GetCount: 	4696ms

PublisherController/ChangeLanguage: 	32889ms

