GameController/Index: 	9078ms

GameController/GetCount: 	9141ms

GameController/Details: 	9251ms

GameController/GetCount: 	9251ms

GameController/Download: 	12854ms

GameController/Index: 	13062ms

GameController/GetCount: 	13062ms

PublisherController/Index: 	13099ms

GameController/GetCount: 	13099ms

OrderController/History: 	13100ms

GameController/GetCount: 	13101ms

OrderController/History: 	13962ms

GameController/GetCount: 	13963ms

GameController/Index: 	14162ms

GameController/GetCount: 	14203ms

GameController/Index: 	14324ms

GameController/GetCount: 	14324ms

GameController/Index: 	14436ms

GameController/GetCount: 	14437ms

GameController/Index: 	14551ms

GameController/GetCount: 	14552ms

GameController/Index: 	14932ms

GameController/GetCount: 	14933ms

GameController/Index: 	15058ms

GameController/GetCount: 	15059ms

GameController/Index: 	4045ms

GameController/GetCount: 	4095ms

GameController/Index: 	14894ms

GameController/GetCount: 	15081ms

GameController/Details: 	15142ms

GameController/GetCount: 	15143ms

GameController/Details: 	15198ms

GameController/GetCount: 	15199ms

CommentController/Index: 	15269ms

GameController/GetCount: 	15270ms

GameController/Index: 	2470ms

GameController/GetCount: 	2500ms

GameController/Details: 	2530ms

GameController/GetCount: 	2530ms

CommentController/Index: 	2716ms

GameController/GetCount: 	2716ms

CommentController/Index: 	5023ms

CommentController/Index: 	5035ms

GameController/GetCount: 	5035ms

GameController/Index: 	5166ms

GameController/GetCount: 	5167ms

GameController/Details: 	5217ms

GameController/GetCount: 	5218ms

CommentController/Index: 	5261ms

GameController/GetCount: 	5262ms

GameController/Index: 	2747ms

GameController/GetCount: 	2761ms

GameController/Index: 	2764ms

GameController/GetCount: 	2777ms

GameController/Index: 	4271ms

GameController/Index: 	1834ms

GameController/GetCount: 	1849ms

GameController/Index: 	2018ms

GameController/GetCount: 	2018ms

GameController/Index: 	5430ms

GameController/GetCount: 	5443ms

GameController/Details: 	5498ms

GameController/GetCount: 	5499ms

CommentController/Index: 	5562ms

GameController/GetCount: 	5563ms

GameController/Index: 	1611ms

GameController/GetCount: 	1624ms

GameController/Index: 	3543ms

GameController/Index: 	1796ms

GameController/GetCount: 	1810ms

GameController/Index: 	1442ms

GameController/GetCount: 	2927ms

GameController/Index: 	1496ms

GameController/GetCount: 	1509ms

CommentController/Index: 	19070ms

GameController/Index: 	19165ms

GameController/GetCount: 	19166ms

GameController/Details: 	19212ms

GameController/GetCount: 	19213ms

CommentController/Index: 	19260ms

GameController/GetCount: 	19261ms

GameController/Index: 	1464ms

GameController/GetCount: 	1498ms

GameController/Details: 	1562ms

GameController/GetCount: 	1563ms

CommentController/Index: 	1630ms

GameController/GetCount: 	1650ms

GameController/Index: 	1824ms

GameController/Index: 	1708ms

GameController/GetCount: 	1722ms

GameController/Index: 	1852ms

GameController/GetCount: 	1853ms

GameController/Index: 	1933ms

GameController/GetCount: 	1947ms

GameController/Details: 	1982ms

GameController/GetCount: 	1983ms

CommentController/Index: 	2060ms

