2015-11-05 08:43:28.3755| IP: ::1 | Method: GET | Path: /
2015-11-05 08:43:31.4451| IP: ::1 | Method: GET | Path: /
2015-11-05 08:43:42.9030| IP: ::1 | Method: GET | Path: /game/SCII/comments
2015-11-05 08:43:43.3466| IP: ::1 | Method: GET | Path: /game/SCII/comments
2015-11-05 08:43:48.5864| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 08:43:48.7082| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 08:44:17.2309| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:44:18.5286| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:44:28.1652| IP: ::1 | Method: GET | Path: /Publisher/Update/1
2015-11-05 08:44:28.2403| IP: ::1 | Method: GET | Path: /Publisher/Update/1
2015-11-05 08:44:51.2854| IP: ::1 | Method: GET | Path: /publisher
2015-11-05 08:44:51.3464| IP: ::1 | Method: GET | Path: /publisher
2015-11-05 08:44:53.8190| IP: ::1 | Method: GET | Path: /Publisher/New
2015-11-05 08:44:53.8717| IP: ::1 | Method: GET | Path: /Publisher/New
2015-11-05 08:45:01.7981| IP: ::1 | Method: POST | Path: /Publisher/New
2015-11-05 08:45:02.0628| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:45:02.0879| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:45:04.0351| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:45:04.0461| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:45:06.6759| IP: ::1 | Method: POST | Path: /Publisher/Delete
2015-11-05 08:45:08.7337| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:45:08.7677| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:45:19.1623| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:45:19.1873| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:57:29.1661| IP: ::1 | Method: GET | Path: /
2015-11-05 08:57:32.0209| IP: ::1 | Method: GET | Path: /
2015-11-05 08:57:34.7554| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 08:57:34.8582| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 08:57:36.3666| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:57:36.7607| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:57:38.6275| IP: ::1 | Method: GET | Path: /Publisher/Update
2015-11-05 08:57:38.7643| IP: ::1 | Method: GET | Path: /Publisher/Update
2015-11-05 08:57:40.3720| IP: ::1 | Method: POST | Path: /Publisher/Update
2015-11-05 08:57:44.0991| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:57:44.1612| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:57:46.8984| IP: ::1 | Method: GET | Path: /Publisher/New
2015-11-05 08:57:46.9514| IP: ::1 | Method: GET | Path: /Publisher/New
2015-11-05 08:57:52.8674| IP: ::1 | Method: POST | Path: /Publisher/New
2015-11-05 08:57:52.9094| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:57:52.9344| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:57:54.9073| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:57:54.9073| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 08:57:55.8034| IP: ::1 | Method: POST | Path: /Publisher/Delete
2015-11-05 08:57:59.5766| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:57:59.5967| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 08:58:10.6957| IP: ::1 | Method: GET | Path: /
2015-11-05 08:58:10.7478| IP: ::1 | Method: GET | Path: /
2015-11-05 08:58:20.0064| IP: ::1 | Method: POST | Path: /Games
2015-11-05 08:58:20.0159| IP: ::1 | Method: POST | Path: /Games
2015-11-05 08:58:29.3986| IP: ::1 | Method: POST | Path: /Games
2015-11-05 08:58:29.4337| IP: ::1 | Method: POST | Path: /Games
2015-11-05 17:29:34.1261| IP: ::1 | Method: GET | Path: /
2015-11-05 17:29:41.0211| IP: ::1 | Method: GET | Path: /
2015-11-05 17:30:02.5752| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:07:40.8849| IP: ::1 | Method: GET | Path: /
2015-11-05 18:07:43.5999| IP: ::1 | Method: GET | Path: /
2015-11-05 18:07:49.6457| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:07:49.8438| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:07:52.2947| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 18:07:52.7685| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 18:08:00.3581| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:08:00.3811| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:08:14.4552| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:08:14.4682| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:08:15.6073| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 18:08:15.6073| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 18:20:02.5838| IP: ::1 | Method: GET | Path: /
2015-11-05 18:22:47.5169| IP: ::1 | Method: GET | Path: /
2015-11-05 18:23:47.6717| IP: ::1 | Method: GET | Path: /
2015-11-05 18:23:50.6922| IP: ::1 | Method: GET | Path: /
2015-11-05 18:23:55.5607| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:23:55.6187| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:23:57.0962| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:23:57.1467| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:23:59.0253| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:23:59.0713| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:24:06.0874| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:24:06.1284| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:24:07.9754| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:24:08.0341| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:24:11.8139| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:24:11.8839| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:24:29.2446| IP: ::1 | Method: GET | Path: /game/Northwind 8
2015-11-05 18:34:45.6574| IP: ::1 | Method: GET | Path: /
2015-11-05 18:38:34.9790| IP: ::1 | Method: GET | Path: /
2015-11-05 18:39:24.9959| IP: ::1 | Method: GET | Path: /
2015-11-05 18:39:28.0077| IP: ::1 | Method: GET | Path: /
2015-11-05 18:39:31.4906| IP: ::1 | Method: GET | Path: /game/Northwind 3
2015-11-05 18:39:52.3316| IP: ::1 | Method: GET | Path: /game/Northwind 3
2015-11-05 18:39:52.3382| IP: ::1 | Method: GET | Path: /game/Northwind 3IP: 127.0.0.1 | Method: GET | Path: /
2015-11-05 18:39:53.1549| IP: ::1 | Method: GET | Path: /
2015-11-05 18:40:21.2082| IP: ::1 | Method: GET | Path: /
2015-11-05 18:40:24.3390| IP: ::1 | Method: GET | Path: /
2015-11-05 18:40:26.6900| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:40:26.8149| IP: ::1 | Method: GET | Path: /game/SCII
2015-11-05 18:40:30.7132| IP: ::1 | Method: GET | Path: /game/Northwind 1
2015-11-05 18:40:30.7643| IP: ::1 | Method: GET | Path: /game/Northwind 1
2015-11-05 18:40:37.6593| IP: ::1 | Method: GET | Path: /Publisher/Details
2015-11-05 18:40:37.7344| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 18:40:38.1157| IP: ::1 | Method: GET | Path: /Publisher
2015-11-05 18:41:07.4565| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:41:07.5065| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:41:15.3527| IP: ::1 | Method: GET | Path: /game/Northwind 51
2015-11-05 18:41:15.4023| IP: ::1 | Method: GET | Path: /game/Northwind 51
2015-11-05 18:41:36.2364| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:41:36.2945| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:41:37.1554| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:41:37.2092| IP: ::1 | Method: POST | Path: /Games
2015-11-05 18:42:09.7362| IP: ::1 | Method: GET | Path: /game/Northwind 6
2015-11-05 18:42:09.7902| IP: ::1 | Method: GET | Path: /game/Northwind 6
2015-11-05 18:42:20.6654| IP: ::1 | Method: POST | Path: /game/Northwind 6/Remove
2015-11-05 18:42:29.6072| IP: ::1 | Method: GET | Path: /game/Northwind 6/Index
2015-11-05 18:42:29.6802| IP: ::1 | Method: GET | Path: /game/Northwind 6/Index
2015-11-05 18:42:44.9636| IP: ::1 | Method: POST | Path: /game/Northwind 6/Index
2015-11-05 18:42:45.0433| IP: ::1 | Method: POST | Path: /game/Northwind 6/Index
2015-11-05 18:42:48.8192| IP: ::1 | Method: POST | Path: /game/Northwind 6/Index
2015-11-05 18:42:48.8192| IP: ::1 | Method: POST | Path: /game/Northwind 6/Index
2015-11-05 18:42:53.8506| IP: ::1 | Method: POST | Path: /game/Northwind 6/Index
2015-11-05 18:42:53.8506| IP: ::1 | Method: POST | Path: /game/Northwind 6/Index
2015-11-05 19:00:15.2660| IP: ::1 | Method: GET | Path: /
2015-11-05 19:01:45.8985| IP: ::1 | Method: GET | Path: /
2015-11-05 19:04:19.6815| IP: ::1 | Method: GET | Path: /
2015-11-05 19:05:06.5773| IP: ::1 | Method: GET | Path: /
