GameController/Index: 	2403ms

GameController/Index: 	3593ms

GameController/Index: 	3593ms
GameController/Index: 	3593ms

GameController/GetCount: 	3650ms
3650ms

GameController/GetCount: 	3650ms
3650ms

GameController/Details: 	3717ms

GameController/GetCount: 	3718ms

CommentController/Index: 	3922ms

GameController/GetCount: 	3923ms

GameController/New: 	4017ms

GameController/GetCount: 	4018ms

GameController/New: 	7735ms

GameController/Index: 	7839ms

GameController/GetCount: 	7852ms

GameController/Details: 	7867ms

GameController/GetCount: 	7868ms

CommentController/Index: 	7888ms

GameController/GetCount: 	7888ms

CommentController/Index: 	11374ms

CommentController/Index: 	11390ms

GameController/GetCount: 	11391ms

CommentController/Index: 	11422ms

CommentController/Index: 	11442ms

GameController/GetCount: 	11442ms

GameController/Index: 	11538ms

GameController/GetCount: 	11538ms

GameController/Details: 	11578ms

GameController/GetCount: 	11578ms

CommentController/Index: 	11622ms

GameController/GetCount: 	11622ms

GameController/Index: 	2307ms

GameController/GetCount: 	2320ms

GameController/Index: 	1593ms

GameController/GetCount: 	1606ms

GameController/New: 	1667ms

GameController/GetCount: 	1668ms

GameController/New: 	4885ms

GameController/Index: 	4983ms

GameController/GetCount: 	4984ms

GameController/Details: 	5004ms

GameController/GetCount: 	5011ms

GameController/New: 	5081ms

GameController/GetCount: 	5082ms

GameController/Index: 	1716ms

GameController/GetCount: 	1757ms

GameController/Index: 	1437ms

GameController/GetCount: 	1450ms

GameController/New: 	1525ms

GameController/GetCount: 	1526ms

GameController/Index: 	1649ms

GameController/GetCount: 	1662ms

GameController/Index: 	1547ms

GameController/GetCount: 	1680ms

GameController/Index: 	1655ms

GameController/GetCount: 	1668ms

GameController/Index: 	1900ms

GameController/GetCount: 	1937ms

GameController/Index: 	1756ms

GameController/GetCount: 	1770ms

GameController/Index: 	2396ms

GameController/GetCount: 	2410ms

GameController/Index: 	1711ms

GameController/GetCount: 	1726ms

GameController/Index: 	1487ms

GameController/GetCount: 	1518ms

GameController/Index: 	1719ms

GameController/GetCount: 	1734ms

GameController/Index: 	1470ms

GameController/GetCount: 	1482ms

GameController/Index: 	1928ms

GameController/GetCount: 	1951ms

GameController/Index: 	1496ms

GameController/GetCount: 	1517ms

GameController/Index: 	1346ms

GameController/Index: 	1457ms

GameController/GetCount: 	1470ms

GameController/New: 	4293ms

GameController/Index: 	4497ms

GameController/GetCount: 	4497ms

GameController/Details: 	4527ms

GameController/GetCount: 	4527ms

GameController/New: 	4596ms

GameController/GetCount: 	4597ms

GameController/New: 	7678ms

GameController/Index: 	7791ms

GameController/GetCount: 	7791ms

GameController/New: 	7859ms

GameController/GetCount: 	7886ms

GameController/New: 	32656ms

GameController/Index: 	32770ms

GameController/GetCount: 	32771ms

GameController/Index: 	1531ms

GameController/GetCount: 	1546ms

GameController/New: 	1614ms

GameController/GetCount: 	1615ms

GameController/Index: 	1945ms

GameController/GetCount: 	1995ms

GameController/Details: 	2021ms

GameController/GetCount: 	2022ms

GameController/Details: 	2058ms

GameController/GetCount: 	2059ms

GameController/Details: 	2092ms

GameController/GetCount: 	2092ms

GameController/New: 	2167ms

GameController/GetCount: 	2168ms

GameController/New: 	84541ms

GameController/Index: 	84671ms

GameController/GetCount: 	84678ms

GameController/New: 	84754ms

GameController/GetCount: 	84755ms

GameController/Index: 	1446ms

GameController/GetCount: 	1461ms

GameController/Details: 	1486ms

GameController/GetCount: 	1486ms

GameController/Remove: 	1635ms

GameController/Index: 	1738ms

GameController/GetCount: 	1738ms

GameController/Details: 	1768ms

GameController/GetCount: 	1769ms

GameController/Remove: 	1779ms

GameController/Index: 	1888ms

GameController/GetCount: 	1889ms

GameController/Details: 	1922ms

GameController/GetCount: 	1923ms

GameController/Remove: 	1944ms

GameController/Index: 	2053ms

GameController/GetCount: 	2057ms

GameController/Index: 	2177ms

GameController/GetCount: 	2177ms

GameController/Index: 	2284ms

GameController/GetCount: 	2284ms

GameController/Index: 	2389ms

GameController/GetCount: 	2390ms

GameController/Index: 	2565ms

GameController/GetCount: 	2566ms

GameController/Index: 	2606ms

GameController/GetCount: 	2607ms

GameController/Index: 	2710ms

GameController/GetCount: 	2710ms

GameController/Details: 	2741ms

GameController/GetCount: 	2742ms

GameController/Details: 	2776ms

GameController/GetCount: 	2785ms

GameController/Remove: 	2792ms

GameController/Index: 	2917ms

GameController/GetCount: 	2918ms

GameController/Details: 	2938ms

GameController/GetCount: 	2940ms

GameController/Remove: 	2946ms

GameController/Index: 	3056ms

GameController/GetCount: 	3057ms

GameController/Index: 	7459ms

GameController/GetCount: 	7471ms

GameController/Index: 	2144ms

GameController/GetCount: 	2172ms

GameController/New: 	2239ms

GameController/GetCount: 	2247ms

GameController/New: 	2554ms

GameController/Index: 	2662ms

GameController/GetCount: 	2662ms

GameController/New: 	2712ms

GameController/GetCount: 	2713ms

GameController/New: 	2822ms

GameController/Index: 	2911ms

GameController/GetCount: 	2911ms

GameController/Index: 	1690ms

GameController/GetCount: 	1702ms

GameController/New: 	1763ms

GameController/GetCount: 	1764ms

GameController/New: 	1924ms

GameController/Index: 	2024ms

GameController/GetCount: 	2024ms

GameController/New: 	2171ms

GameController/GetCount: 	2172ms

GameController/New: 	2251ms

GameController/GetCount: 	2260ms

GameController/New: 	2292ms

GameController/Index: 	2387ms

GameController/GetCount: 	2387ms

GameController/Index: 	4216ms

GameController/GetCount: 	4229ms

GameController/New: 	4295ms

GameController/GetCount: 	4403ms

GameController/New: 	4472ms

GameController/Index: 	4556ms

GameController/GetCount: 	4557ms

GameController/Details: 	4574ms

GameController/GetCount: 	4582ms

GameController/Index: 	1393ms

GameController/GetCount: 	1425ms

GameController/New: 	1485ms

GameController/GetCount: 	1485ms

GameController/New: 	1836ms

GameController/Index: 	1927ms

GameController/GetCount: 	1928ms

GameController/Details: 	1946ms

GameController/GetCount: 	1947ms

PublisherController/Details: 	1972ms

GameController/GetCount: 	1973ms

PublisherController/Details: 	1997ms

GameController/GetCount: 	2005ms

GameController/Details: 	2054ms

GameController/GetCount: 	2054ms

GameController/Update: 	2151ms

GameController/GetCount: 	2152ms

GameController/Update: 	3117ms

GameController/GetCount: 	3130ms

GameController/Update: 	1169ms

GameController/GetCount: 	1185ms

GameController/Update: 	1240ms

GameController/GetCount: 	1240ms

GameController/Update: 	1292ms

GameController/GetCount: 	1293ms

GameController/Update: 	1349ms

GameController/GetCount: 	1350ms

GameController/Update: 	1427ms

GameController/GetCount: 	1428ms

GameController/Update: 	1484ms

GameController/GetCount: 	1484ms

GameController/Update: 	6471ms

GameController/Index: 	6597ms

GameController/GetCount: 	6598ms

GameController/Details: 	6649ms

GameController/GetCount: 	6649ms

GameController/Update: 	6750ms

GameController/GetCount: 	6751ms

GameController/Update: 	6805ms

GameController/GetCount: 	6807ms

GameController/Index: 	1689ms

GameController/GetCount: 	1703ms

GameController/Update: 	10700ms

GameController/Index: 	10789ms

GameController/GetCount: 	10790ms

GameController/Details: 	10804ms

GameController/GetCount: 	10805ms

GameController/Index: 	10896ms

GameController/GetCount: 	10920ms

GameController/Index: 	11027ms

GameController/GetCount: 	11028ms

GameController/Index: 	11066ms

GameController/GetCount: 	11067ms

GameController/Index: 	11172ms

GameController/GetCount: 	11173ms

GameController/Index: 	11228ms

GameController/GetCount: 	11229ms

GameController/Index: 	11315ms

GameController/GetCount: 	11316ms

GameController/Index: 	11356ms

GameController/GetCount: 	11356ms

GameController/Index: 	11394ms

GameController/GetCount: 	11394ms

GameController/Index: 	11436ms

GameController/GetCount: 	11437ms

GameController/Index: 	11544ms

GameController/GetCount: 	11545ms

GameController/Index: 	11615ms

GameController/GetCount: 	11622ms

GameController/Index: 	11672ms

GameController/GetCount: 	11672ms

GameController/Index: 	11724ms

GameController/GetCount: 	11725ms

GameController/Index: 	11775ms

GameController/GetCount: 	11775ms

GameController/Index: 	11836ms

GameController/GetCount: 	11836ms

GameController/Index: 	11896ms

GameController/GetCount: 	11897ms

GameController/Index: 	11947ms

GameController/GetCount: 	11947ms

GameController/Index: 	11987ms

GameController/GetCount: 	11987ms

GameController/Index: 	12033ms

GameController/GetCount: 	12033ms

GameController/Index: 	12084ms

GameController/GetCount: 	12085ms

OrderController/History: 	12086ms

GameController/GetCount: 	12094ms

OrderController/History: 	12837ms

GameController/GetCount: 	12838ms

GameController/Details: 	12893ms

GameController/GetCount: 	12893ms

PublisherController/Details: 	12924ms

GameController/GetCount: 	12924ms

GameController/Details: 	12969ms

GameController/GetCount: 	12970ms

CommentController/Index: 	13043ms

GameController/GetCount: 	13043ms

GameController/Index: 	1369ms

GameController/GetCount: 	1384ms

GameController/Index: 	4263ms

GameController/GetCount: 	4276ms

GameController/Index: 	1638ms

GameController/GetCount: 	1651ms

GameController/Index: 	1806ms

GameController/GetCount: 	1807ms

