GameController/Index: 	5252ms

GameController/GetCount: 	5306ms

GameController/Index: 	1270ms

GameController/GetCount: 	1283ms

AccountController/Login: 	1320ms

GameController/GetCount: 	1327ms

AccountController/Login: 	1827ms

GameController/Index: 	1075ms

GameController/Index: 	1075ms

GameController/GetCount: 	1200ms

GameController/GetCount: 	1200ms

GameController/New: 	1258ms

GameController/Index: 	2911ms

GameController/GetCount: 	2950ms

GameController/New: 	3013ms

GameController/Index: 	3112ms

GameController/GetCount: 	3113ms

GameController/Details: 	3128ms

GameController/GetCount: 	3129ms

GameController/Update: 	3189ms

GameController/Index: 	3334ms

GameController/GetCount: 	3335ms

GameController/Index: 	1403ms

GameController/GetCount: 	1417ms

GameController/New: 	1481ms

GameController/Index: 	686ms

GameController/GetCount: 	700ms

GameController/New: 	756ms

GameController/Index: 	4037ms

GameController/GetCount: 	4051ms

GameController/New: 	4143ms

GameController/Index: 	943ms

GameController/GetCount: 	958ms

GameController/New: 	1020ms

GameController/Index: 	889ms

GameController/GetCount: 	900ms

GameController/New: 	953ms

GameController/Index: 	991ms

GameController/GetCount: 	1005ms

AccountController/Logout: 	1132ms

GameController/Index: 	1229ms

GameController/GetCount: 	1230ms

AccountController/Login: 	1284ms

GameController/GetCount: 	1285ms

AccountController/Login: 	1480ms

GameController/Index: 	1585ms

GameController/GetCount: 	1586ms

AccountController/Logout: 	1586ms

GameController/Index: 	1681ms

GameController/GetCount: 	1688ms

AccountController/Login: 	1688ms

GameController/GetCount: 	1689ms

AccountController/Login: 	46079ms

GameController/Index: 	46213ms

GameController/GetCount: 	46213ms

AccountController/Logout: 	46214ms

GameController/Index: 	46316ms

GameController/GetCount: 	46324ms

AccountController/Login: 	46325ms

GameController/GetCount: 	46325ms

GameController/Index: 	1042ms

GameController/GetCount: 	1083ms

AccountController/Login: 	1120ms

GameController/GetCount: 	1121ms

GameController/Index: 	942ms

GameController/GetCount: 	956ms

AccountController/Login: 	995ms

GameController/GetCount: 	996ms

AccountController/Login: 	1040ms

AccountController/Login: 	14ms

AccountController/Login: 	15ms

GameController/Index: 	681ms

GameController/Index: 	664ms

GameController/GetCount: 	676ms

AccountController/Logout: 	678ms

GameController/Index: 	775ms

GameController/GetCount: 	776ms

GameController/Index: 	1303ms

GameController/GetCount: 	1318ms

GameController/Index: 	565ms

GameController/GetCount: 	697ms

AccountController/Login: 	735ms

GameController/GetCount: 	736ms

AccountController/Login: 	781ms

GameController/Index: 	879ms

GameController/GetCount: 	879ms

GameController/New: 	931ms

GameController/GetCount: 	932ms

GameController/Details: 	945ms

GameController/GetCount: 	945ms

GameController/Update: 	1037ms

GameController/GetCount: 	1038ms

GameController/Download: 	1067ms

GameController/Details: 	1115ms

GameController/GetCount: 	1115ms

GameController/Update: 	1260ms

GameController/GetCount: 	1261ms

GameController/Update: 	1322ms

GameController/GetCount: 	1322ms

GameController/Update: 	2157ms

GameController/Index: 	2268ms

GameController/GetCount: 	2268ms

GameController/Details: 	2282ms

GameController/GetCount: 	2283ms

GameController/Remove: 	2322ms

GameController/Index: 	2417ms

GameController/GetCount: 	2448ms

GameController/Details: 	2464ms

GameController/GetCount: 	2464ms

CommentController/Index: 	2565ms

GameController/GetCount: 	2566ms

CommentController/Index: 	3116ms

CommentController/Index: 	3170ms

GameController/GetCount: 	3170ms

AccountController/Login: 	3183ms

GameController/GetCount: 	3183ms

CommentController/Index: 	3183ms

GameController/GetCount: 	3185ms

CommentController/Index: 	3232ms

GameController/GetCount: 	3233ms

CommentController/Index: 	3279ms

GameController/GetCount: 	3280ms

CommentController/Index: 	3330ms

GameController/GetCount: 	3330ms

CommentController/Index: 	3373ms

GameController/GetCount: 	3373ms

AccountController/Login: 	3389ms

GameController/GetCount: 	3389ms

CommentController/Index: 	3389ms

GameController/GetCount: 	3390ms

CommentController/Index: 	3449ms

GameController/GetCount: 	3450ms

CommentController/Index: 	3498ms

GameController/GetCount: 	3499ms

CommentController/Index: 	3556ms

GameController/GetCount: 	3557ms

CommentController/Index: 	3603ms

GameController/GetCount: 	3603ms

GameController/Index: 	998ms

GameController/GetCount: 	1014ms

GameController/Details: 	1039ms

GameController/GetCount: 	1040ms

CommentController/Index: 	1123ms

GameController/GetCount: 	1124ms

AccountController/Logout: 	1126ms

GameController/Index: 	1224ms

GameController/GetCount: 	1225ms

GameController/Details: 	1235ms

GameController/GetCount: 	1236ms

CommentController/Index: 	1280ms

GameController/GetCount: 	1281ms

AccountController/Login: 	1314ms

GameController/GetCount: 	1315ms

AccountController/Login: 	1347ms

CommentController/Index: 	1403ms

GameController/GetCount: 	1411ms

CommentController/Index: 	1490ms

GameController/GetCount: 	1491ms

CommentController/Delete: 	1491ms

CommentController/Index: 	1538ms

GameController/GetCount: 	1538ms

CommentController/Index: 	1585ms

GameController/GetCount: 	1585ms

CommentController/Delete: 	9139ms

CommentController/Index: 	9139ms

GameController/GetCount: 	9141ms

GameController/Index: 	9323ms

GameController/GetCount: 	9324ms

CommentController/Index: 	9371ms

GameController/GetCount: 	9372ms

GameController/Index: 	9465ms

GameController/GetCount: 	9466ms

GameController/Details: 	9479ms

GameController/GetCount: 	9479ms

CommentController/Index: 	9540ms

GameController/GetCount: 	9541ms

GameController/Index: 	1004ms

GameController/GetCount: 	1025ms

AccountController/Logout: 	1026ms

GameController/Index: 	1118ms

GameController/GetCount: 	1119ms

AccountController/Login: 	1163ms

GameController/GetCount: 	1164ms

AccountController/Login: 	1316ms

GameController/Index: 	1410ms

GameController/GetCount: 	1410ms

GameController/Index: 	759ms

GameController/GetCount: 	772ms

GameController/Index: 	885ms

GameController/GetCount: 	893ms

GameController/Index: 	944ms

GameController/GetCount: 	957ms

GameController/Index: 	1065ms

GameController/GetCount: 	1073ms

AccountController/Index: 	1447ms

GameController/Index: 	3117ms

GameController/GetCount: 	3131ms

GameController/Index: 	3236ms

GameController/GetCount: 	3237ms

AccountController/Index: 	3422ms

GameController/GetCount: 	3423ms

AccountController/IndexRoles: 	3447ms

GameController/GetCount: 	3455ms

AccountController/CreateRole: 	3456ms

GameController/Index: 	3577ms

GameController/GetCount: 	3577ms

GameController/Index: 	3499ms

GameController/GetCount: 	3515ms

AccountController/Index: 	3671ms

GameController/GetCount: 	3671ms

AccountController/Index: 	461ms

GameController/GetCount: 	2698ms

AccountController/Index: 	2818ms

GameController/GetCount: 	2819ms

AccountController/Index: 	2897ms

GameController/GetCount: 	2897ms

AccountController/Index: 	261ms

GameController/Index: 	261ms

GameController/GetCount: 	276ms

GameController/GetCount: 	276ms

AccountController/Index: 	379ms

GameController/GetCount: 	389ms

AccountController/Index: 	495ms

GameController/GetCount: 	496ms

AccountController/Index: 	592ms

GameController/GetCount: 	602ms

AccountController/Index: 	696ms

GameController/GetCount: 	704ms

AccountController/Index: 	780ms

GameController/GetCount: 	781ms

AccountController/Index: 	862ms

GameController/GetCount: 	863ms

AccountController/Index: 	933ms

GameController/GetCount: 	934ms

AccountController/Index: 	1010ms

GameController/GetCount: 	1011ms

AccountController/Manage: 	1063ms

GameController/Index: 	1160ms

GameController/GetCount: 	1161ms

AccountController/Index: 	314ms

GameController/GetCount: 	874ms

AccountController/IndexRoles: 	886ms

GameController/GetCount: 	887ms

AccountController/CreateRole: 	888ms

GameController/Index: 	1405ms

GameController/GetCount: 	1412ms

GameController/Index: 	2548ms

GameController/GetCount: 	2562ms

AccountController/Index: 	2714ms

GameController/GetCount: 	2715ms

AccountController/CreateRole: 	2715ms

AccountController/AddClaim: 	2717ms

GameController/GetCount: 	2718ms

AccountController/CreateRole: 	2719ms

AccountController/AddClaim: 	2719ms

GameController/GetCount: 	2729ms

AccountController/CreateRole: 	2729ms

AccountController/AddClaim: 	2730ms

GameController/GetCount: 	2731ms

AccountController/AddClaim: 	2732ms

AccountController/AddClaim: 	2732ms

AccountController/AddClaim: 	2733ms

AccountController/AddClaim: 	2733ms

AccountController/Index: 	2822ms

GameController/GetCount: 	2830ms

AccountController/CreateRole: 	2831ms

AccountController/AddClaim: 	2832ms

GameController/GetCount: 	2832ms

AccountController/AddClaim: 	2833ms

AccountController/AddClaim: 	2833ms

AccountController/AddClaim: 	2834ms

AccountController/Index: 	346ms

GameController/GetCount: 	599ms

AccountController/CreateRole: 	600ms

AccountController/AddClaim: 	603ms

GameController/GetCount: 	603ms

GameController/Index: 	1017ms

