GameController/List: 	1667ms

GameController/GetCount: 	1675ms

GameController/Create: 	1804ms

GameController/GetCount: 	1805ms

GameController/Create: 	1850ms

GameController/GetCount: 	1853ms

GameController/Create: 	1902ms

GameController/GetCount: 	1904ms

GameController/Create: 	1967ms

GameController/GetCount: 	1970ms

GameController/Create: 	2119ms

GameController/GetCount: 	2119ms

GameController/Create: 	2694ms

GameController/List: 	2739ms

GameController/GetCount: 	2742ms

GameController/Details: 	2761ms

GameController/GetCount: 	2762ms

GameController/Index: 	3122ms

GameController/GetCount: 	3205ms

PublisherController/Index: 	3222ms

GameController/GetCount: 	3222ms

PublisherController/Index: 	1424ms

GameController/GetCount: 	1433ms

GameController/Index: 	1641ms

GameController/GetCount: 	1649ms

PublisherController/Index: 	1674ms

GameController/GetCount: 	1675ms

GameController/Index: 	1932ms

GameController/GetCount: 	1941ms

PublisherController/Index: 	1954ms

GameController/GetCount: 	1955ms

GameController/Index: 	1479ms

GameController/GetCount: 	1487ms

PublisherController/New: 	1489ms

GameController/GetCount: 	1489ms

PublisherController/Details: 	1219ms

PublisherController/Index: 	1370ms

GameController/GetCount: 	1634ms

PublisherController/Details: 	1661ms

PublisherController/Index: 	1683ms

GameController/GetCount: 	1684ms

PublisherController/Details: 	1710ms

PublisherController/Index: 	1721ms

GameController/GetCount: 	1722ms

PublisherController/Details: 	1745ms

PublisherController/Index: 	1756ms

GameController/GetCount: 	1757ms

PublisherController/Index: 	1795ms

GameController/GetCount: 	1799ms

PublisherController/New: 	1800ms

GameController/Index: 	1896ms

GameController/GetCount: 	1896ms

PublisherController/New: 	12ms

GameController/GetCount: 	923ms

PublisherController/Index: 	1265ms

GameController/GetCount: 	1265ms

PublisherController/New: 	1266ms

GameController/GetCount: 	1266ms

GameController/Index: 	1249ms

GameController/GetCount: 	1257ms

PublisherController/Index: 	1271ms

PublisherController/Index: 	1283ms

GameController/GetCount: 	1284ms

GameController/GetCount: 	1284ms

PublisherController/New: 	1784ms

PublisherController/Index: 	1804ms

GameController/GetCount: 	1805ms

PublisherController/Details: 	1836ms

PublisherController/Index: 	1848ms

GameController/GetCount: 	1849ms

PublisherController/Details: 	1873ms

PublisherController/Index: 	1885ms

GameController/GetCount: 	1886ms

PublisherController/Details: 	1908ms

PublisherController/Index: 	1919ms

GameController/GetCount: 	1919ms

PublisherController/Details: 	1946ms

PublisherController/Details: 	1968ms

PublisherController/Index: 	1979ms

GameController/GetCount: 	1980ms

PublisherController/Details: 	2005ms

PublisherController/Details: 	2037ms

PublisherController/Details: 	2061ms

PublisherController/Index: 	2072ms

GameController/GetCount: 	2073ms

PublisherController/Details: 	2102ms

PublisherController/Details: 	2124ms

PublisherController/Index: 	2135ms

GameController/GetCount: 	2136ms

PublisherController/Details: 	2140ms

GameController/GetCount: 	2141ms

PublisherController/Details: 	1125ms

PublisherController/Index: 	1286ms

GameController/GetCount: 	1295ms

PublisherController/Index: 	1310ms

GameController/GetCount: 	1311ms

PublisherController/Details: 	1327ms

GameController/GetCount: 	1327ms

PublisherController/Details: 	1356ms

PublisherController/Index: 	1377ms

GameController/GetCount: 	1378ms

GameController/Index: 	1363ms

GameController/GetCount: 	1372ms

PublisherController/Details: 	1388ms

GameController/GetCount: 	1389ms

PublisherController/Details: 	1421ms

PublisherController/Index: 	1433ms

GameController/GetCount: 	1434ms

GameController/Index: 	1527ms

GameController/GetCount: 	1536ms

PublisherController/Index: 	1556ms

GameController/GetCount: 	1557ms

PublisherController/New: 	1558ms

GameController/GetCount: 	1558ms

PublisherController/Index: 	1575ms

GameController/GetCount: 	1576ms

PublisherController/Details: 	1597ms

GameController/GetCount: 	1597ms

PublisherController/Details: 	1633ms

PublisherController/Index: 	1644ms

GameController/GetCount: 	1644ms

PublisherController/Details: 	1669ms

PublisherController/Index: 	1681ms

GameController/GetCount: 	1681ms

GameController/Index: 	1138ms

GameController/GetCount: 	1146ms

PublisherController/Details: 	1189ms

PublisherController/Details: 	1208ms

PublisherController/Details: 	1229ms

PublisherController/Details: 	1247ms

PublisherController/Details: 	1266ms

PublisherController/Details: 	1284ms

PublisherController/Details: 	1302ms

PublisherController/Details: 	1321ms

PublisherController/Details: 	1339ms

PublisherController/Details: 	1358ms

PublisherController/Details: 	1377ms

PublisherController/Details: 	1397ms

PublisherController/Details: 	1416ms

PublisherController/Details: 	1437ms

PublisherController/Details: 	1456ms

PublisherController/Details: 	1475ms

PublisherController/Details: 	1493ms

PublisherController/Details: 	1513ms

PublisherController/Details: 	1532ms

PublisherController/Details: 	1551ms

PublisherController/Details: 	1569ms

PublisherController/Details: 	1597ms

PublisherController/Details: 	1617ms

PublisherController/Details: 	1638ms

PublisherController/Details: 	1657ms

PublisherController/Details: 	1676ms

PublisherController/Details: 	1694ms

PublisherController/Details: 	1712ms

PublisherController/Details: 	1730ms

PublisherController/Details: 	1748ms

PublisherController/Details: 	1768ms

PublisherController/Details: 	1785ms

PublisherController/Details: 	1805ms

PublisherController/Details: 	1823ms

PublisherController/Details: 	1841ms

PublisherController/Details: 	1859ms

PublisherController/Details: 	1877ms

PublisherController/Details: 	1896ms

PublisherController/Details: 	1916ms

PublisherController/Details: 	1936ms

PublisherController/Details: 	1957ms

PublisherController/Details: 	1977ms

PublisherController/Details: 	2022ms

PublisherController/Details: 	2046ms

PublisherController/Details: 	2064ms

PublisherController/Details: 	2083ms

PublisherController/Details: 	2101ms

PublisherController/Details: 	2120ms

PublisherController/Details: 	2138ms

PublisherController/Details: 	2157ms

PublisherController/Details: 	2176ms

PublisherController/Details: 	2193ms

PublisherController/Details: 	2212ms

PublisherController/Details: 	2230ms

PublisherController/Details: 	2249ms

PublisherController/Details: 	2267ms

PublisherController/Details: 	2287ms

