GameController/Index: 	2003ms

GameController/GetCount: 	2045ms

PaymentController/paycard: 	2052ms

GameController/GetCount: 	2060ms

PaymentController/paycard: 	9551ms

PaymentController/ConfirmCard: 	9552ms

GameController/GetCount: 	9596ms

GameController/Index: 	9596ms

GameController/GetCount: 	9596ms

GameController/Index: 	1793ms

GameController/GetCount: 	1808ms

AccountController/Login: 	1848ms

GameController/GetCount: 	1849ms

AccountController/Login: 	2646ms

GameController/Index: 	2767ms

GameController/GetCount: 	2776ms

OrderController/Details: 	4906ms

GameController/GetCount: 	4906ms

GameController/Details: 	4946ms

GameController/GetCount: 	4946ms

OrderController/Add: 	5094ms

GameController/Index: 	5192ms

GameController/GetCount: 	5193ms

OrderController/Details: 	5225ms

GameController/GetCount: 	5226ms

OrderController/Make: 	5247ms

GameController/GetCount: 	5247ms

OrderController/Pay: 	16965ms

PaymentController/PayCard: 	16975ms

GameController/GetCount: 	16976ms

GameController/Index: 	2357ms

GameController/GetCount: 	2582ms

GameController/Details: 	2591ms

GameController/GetCount: 	2591ms

OrderController/Add: 	4335ms

GameController/Index: 	4547ms

GameController/GetCount: 	4548ms

OrderController/Details: 	4613ms

GameController/GetCount: 	4614ms

OrderController/Make: 	4648ms

GameController/GetCount: 	4649ms

OrderController/Pay: 	4943ms

PaymentController/PayCard: 	4963ms

GameController/GetCount: 	4964ms

GameController/Index: 	783ms

GameController/GetCount: 	857ms

GameController/Index: 	1288ms

GameController/GetCount: 	1318ms

OrderController/Details: 	3005ms

GameController/GetCount: 	3005ms

GameController/Index: 	3118ms

GameController/GetCount: 	3119ms

GameController/Details: 	3132ms

GameController/GetCount: 	3133ms

OrderController/Add: 	3212ms

GameController/Index: 	3303ms

GameController/GetCount: 	3303ms

GameController/Details: 	3349ms

GameController/GetCount: 	3349ms

OrderController/Details: 	3381ms

GameController/GetCount: 	3382ms

OrderController/Make: 	3398ms

GameController/GetCount: 	3399ms

OrderController/Pay: 	3507ms

PaymentController/PayCard: 	3513ms

GameController/GetCount: 	3514ms

PaymentController/PayCard: 	55826ms

GameController/Index: 	1435ms

GameController/GetCount: 	1535ms

OrderController/Details: 	2426ms

GameController/GetCount: 	2427ms

OrderController/Details: 	2464ms

GameController/GetCount: 	2465ms

GameController/Index: 	2561ms

GameController/GetCount: 	2561ms

GameController/Details: 	2571ms

GameController/GetCount: 	2571ms

OrderController/Add: 	2691ms

GameController/Index: 	2791ms

GameController/GetCount: 	2792ms

OrderController/Details: 	2818ms

GameController/GetCount: 	2819ms

OrderController/Make: 	2834ms

GameController/GetCount: 	2835ms

OrderController/Pay: 	2926ms

PaymentController/PayCard: 	2933ms

GameController/GetCount: 	2934ms

PaymentController/PayCard: 	63047ms

GameController/GetCount: 	63055ms

PaymentController/PayCard: 	125695ms

PaymentController/ConfirmCard: 	125696ms

GameController/GetCount: 	125704ms

GameController/Index: 	125815ms

GameController/GetCount: 	125822ms

OrderController/Details: 	126459ms

GameController/GetCount: 	126460ms

GameController/Details: 	126476ms

GameController/GetCount: 	126476ms

OrderController/Add: 	126549ms

GameController/Index: 	126644ms

GameController/GetCount: 	126645ms

