GameController/Index: 	4008ms

GameController/GetCount: 	4030ms

OrderController/Details: 	4235ms

GameController/GetCount: 	4235ms

OrderController/Make: 	8811ms

GameController/GetCount: 	8812ms

OrderController/Pay: 	18391ms

GameController/Index: 	18501ms

GameController/GetCount: 	18508ms

OrderController/Details: 	19531ms

GameController/GetCount: 	19531ms

GameController/Index: 	19584ms

GameController/GetCount: 	19585ms

GameController/Details: 	19630ms

GameController/GetCount: 	19630ms

GameController/Index: 	1725ms

GameController/GetCount: 	1742ms

GameController/Index: 	1824ms

GameController/GetCount: 	1833ms

GameController/Details: 	1877ms

GameController/GetCount: 	1878ms

GameController/Index: 	1633ms

GameController/GetCount: 	1648ms

GameController/Index: 	1702ms

GameController/GetCount: 	1703ms

GameController/Details: 	1782ms

GameController/GetCount: 	1783ms

GameController/Index: 	3058ms

GameController/GetCount: 	3074ms

GameController/Index: 	3116ms

GameController/GetCount: 	3116ms

GameController/Index: 	3172ms

GameController/GetCount: 	3173ms

GameController/Details: 	3219ms

GameController/GetCount: 	3220ms

GameController/Update: 	3321ms

GameController/GetCount: 	3322ms

CommentController/Index: 	3393ms

GameController/GetCount: 	3394ms

CommentController/Index: 	6625ms

CommentController/Index: 	6644ms

GameController/GetCount: 	6645ms

GameController/Index: 	6801ms

GameController/GetCount: 	6802ms

GameController/Index: 	6861ms

GameController/GetCount: 	6861ms

GameController/Details: 	6905ms

GameController/GetCount: 	6905ms

GameController/Index: 	1554ms

GameController/GetCount: 	1569ms

GameController/Index: 	1623ms

GameController/GetCount: 	1624ms

GameController/Details: 	1667ms

GameController/GetCount: 	1668ms

CommentController/Index: 	1746ms

GameController/GetCount: 	1747ms

CommentController/Index: 	4726ms

CommentController/Index: 	4753ms

GameController/GetCount: 	4754ms

GameController/Index: 	4870ms

GameController/GetCount: 	4870ms

GameController/Index: 	4921ms

GameController/GetCount: 	4922ms

GameController/Details: 	4960ms

GameController/GetCount: 	4961ms

GameController/Index: 	1824ms

GameController/GetCount: 	1840ms

GameController/Index: 	1887ms

GameController/GetCount: 	1887ms

GameController/Index: 	1953ms

