GameController/Index: 	3324ms

GameController/GetCount: 	3332ms

GameController/Index: 	3381ms

GameController/GetCount: 	3382ms

GameController/Index: 	3427ms

GameController/GetCount: 	3428ms

GameController/Index: 	3473ms

GameController/GetCount: 	3474ms

GameController/Index: 	3519ms

GameController/GetCount: 	3520ms

GameController/Index: 	3561ms

GameController/GetCount: 	3561ms

GameController/Index: 	3607ms

GameController/GetCount: 	3608ms

GameController/Index: 	3649ms

GameController/GetCount: 	3650ms

GameController/Index: 	3691ms

GameController/GetCount: 	3693ms

GameController/Index: 	3732ms

GameController/GetCount: 	3733ms

GameController/Index: 	1575ms

GameController/GetCount: 	1583ms

GameController/Index: 	3184ms

GameController/GetCount: 	3232ms

GameController/Index: 	3285ms

GameController/GetCount: 	3286ms

GameController/Index: 	3356ms

GameController/GetCount: 	3357ms

GameController/Index: 	3401ms

GameController/GetCount: 	3402ms

GameController/Index: 	3442ms

GameController/GetCount: 	3442ms

GameController/Index: 	3488ms

GameController/GetCount: 	3488ms

GameController/Index: 	3537ms

GameController/GetCount: 	3537ms

GameController/Index: 	3578ms

GameController/GetCount: 	3578ms

GameController/Index: 	3623ms

GameController/GetCount: 	3623ms

GameController/Index: 	3665ms

GameController/GetCount: 	3666ms

GameController/Index: 	3713ms

GameController/GetCount: 	3714ms

GameController/Details: 	3795ms

GameController/GetCount: 	3795ms

GameController/Index: 	5725ms

GameController/GetCount: 	5770ms

GameController/Index: 	4605ms

GameController/GetCount: 	4651ms

GameController/Details: 	5182ms

GameController/GetCount: 	5182ms

PublisherController/Details: 	5190ms

GameController/GetCount: 	5191ms

GameController/Index: 	5240ms

GameController/GetCount: 	5241ms

GameController/Index: 	5284ms

GameController/GetCount: 	5284ms

GameController/Index: 	1789ms

GameController/GetCount: 	1837ms

GameController/Index: 	2081ms

GameController/GetCount: 	2133ms

GameController/Index: 	2247ms

GameController/GetCount: 	2248ms

GameController/Index: 	2319ms

GameController/GetCount: 	2320ms

GameController/Index: 	2474ms

GameController/GetCount: 	2474ms

GameController/Index: 	2554ms

GameController/GetCount: 	2554ms

GameController/Index: 	2630ms

GameController/GetCount: 	2630ms

GameController/Index: 	2700ms

GameController/GetCount: 	2700ms

GameController/Index: 	2770ms

GameController/GetCount: 	2770ms

GameController/Index: 	2835ms

GameController/GetCount: 	2836ms

GameController/Index: 	2900ms

GameController/GetCount: 	2900ms

GameController/Index: 	2964ms

GameController/GetCount: 	2964ms

GameController/Index: 	3030ms

GameController/GetCount: 	3071ms

GameController/Index: 	3136ms

GameController/GetCount: 	3137ms

GameController/Index: 	3207ms

GameController/GetCount: 	3207ms

GameController/Index: 	3307ms

GameController/GetCount: 	3308ms

GameController/Index: 	3380ms

GameController/GetCount: 	3380ms

GameController/Details: 	3436ms

GameController/GetCount: 	3437ms

GameController/Index: 	3486ms

GameController/GetCount: 	3524ms

GameController/Details: 	3581ms

GameController/GetCount: 	3582ms

GameController/Details: 	3632ms

GameController/GetCount: 	3632ms

GameController/Details: 	3686ms

GameController/GetCount: 	3686ms

GameController/Index: 	2868ms

GameController/GetCount: 	2935ms

GameController/Index: 	1801ms

GameController/GetCount: 	1846ms

GameController/Index: 	1710ms

GameController/GetCount: 	1757ms

GameController/Index: 	4213ms

GameController/GetCount: 	4258ms

GameController/Details: 	4474ms

GameController/GetCount: 	4474ms

GameController/Index: 	4318ms

GameController/GetCount: 	4373ms

GameController/Index: 	4437ms

GameController/GetCount: 	4438ms

GameController/Index: 	4488ms

GameController/GetCount: 	4489ms

GameController/Index: 	4538ms

GameController/GetCount: 	4539ms

GameController/Index: 	1579ms

GameController/GetCount: 	1630ms

GameController/Index: 	1732ms

GameController/GetCount: 	1733ms

GameController/Index: 	1825ms

GameController/GetCount: 	1826ms

GameController/Index: 	1920ms

GameController/GetCount: 	1921ms

GameController/Index: 	2021ms

GameController/GetCount: 	2022ms

GameController/Index: 	4582ms

GameController/GetCount: 	4632ms

GameController/New: 	4690ms

GameController/GetCount: 	4691ms

GameController/Index: 	2405ms

GameController/GetCount: 	2453ms

GameController/Index: 	1935ms

GameController/GetCount: 	1983ms

GameController/Index: 	2004ms

GameController/GetCount: 	2052ms

GameController/Index: 	1877ms

GameController/GetCount: 	1926ms

GameController/Index: 	2073ms

GameController/GetCount: 	2074ms

GameController/Index: 	1473ms

GameController/New: 	8281ms

GameController/Index: 	8551ms

GameController/Index: 	8551ms

GameController/GetCount: 	8600ms

GameController/GetCount: 	8600ms

GameController/Details: 	8655ms

GameController/GetCount: 	8656ms

GameController/New: 	8746ms

GameController/GetCount: 	8747ms

GameController/New: 	10946ms

GameController/Index: 	11118ms

GameController/GetCount: 	11119ms

GameController/Details: 	11173ms

GameController/GetCount: 	11174ms

PublisherController/Details: 	11184ms

GameController/GetCount: 	11229ms

GameController/Update: 	11333ms

GameController/GetCount: 	11334ms

GameController/Update: 	11392ms

GameController/GetCount: 	11392ms

GameController/Index: 	1499ms

GameController/GetCount: 	1541ms

GameController/Update: 	1650ms

GameController/GetCount: 	1650ms

GameController/New: 	1709ms

GameController/GetCount: 	1709ms

GameController/Index: 	1370ms

GameController/GetCount: 	1417ms

GameController/Details: 	1473ms

GameController/GetCount: 	1473ms

GameController/Details: 	1530ms

GameController/GetCount: 	1531ms

GameController/Index: 	1661ms

GameController/GetCount: 	1661ms

GameController/Index: 	1771ms

GameController/GetCount: 	1772ms

GameController/Index: 	3816ms

GameController/GetCount: 	3869ms

GameController/Details: 	3941ms

GameController/GetCount: 	3982ms

GameController/Update: 	4085ms

GameController/GetCount: 	4085ms

GameController/Index: 	1581ms

GameController/GetCount: 	1630ms

GameController/Update: 	4485ms

GameController/Index: 	4666ms

GameController/GetCount: 	4667ms

GameController/Details: 	4721ms

GameController/GetCount: 	4722ms

GameController/Details: 	4772ms

GameController/GetCount: 	4772ms

GameController/Update: 	4882ms

GameController/GetCount: 	4883ms

GameController/Update: 	4938ms

GameController/GetCount: 	4939ms

GameController/Update: 	6269ms

GameController/Index: 	6426ms

GameController/GetCount: 	6426ms

GameController/Details: 	6481ms

GameController/GetCount: 	6482ms

GameController/Details: 	6547ms

GameController/GetCount: 	6589ms

GameController/Update: 	6696ms

GameController/GetCount: 	6697ms

GameController/Update: 	8274ms

GameController/Index: 	8444ms

GameController/GetCount: 	8444ms

GameController/Details: 	8504ms

GameController/GetCount: 	8505ms

GameController/Index: 	8673ms

GameController/GetCount: 	8674ms

GameController/Details: 	8729ms

GameController/GetCount: 	8730ms

GameController/Update: 	8849ms

GameController/GetCount: 	8850ms

GameController/Index: 	1621ms

GameController/GetCount: 	1668ms

GameController/Index: 	1553ms

GameController/Index: 	1715ms

GameController/Index: 	1562ms

GameController/GetCount: 	1619ms

GameController/Update: 	40552ms

GameController/Index: 	40728ms

GameController/GetCount: 	40729ms

GameController/Details: 	40791ms

GameController/GetCount: 	40792ms

GameController/Details: 	40870ms

GameController/GetCount: 	40871ms

GameController/Details: 	40922ms

GameController/GetCount: 	40922ms

GameController/Index: 	1636ms

GameController/GetCount: 	1688ms

GameController/Details: 	1746ms

GameController/GetCount: 	1747ms

GameController/Details: 	1798ms

GameController/GetCount: 	1799ms

GameController/Details: 	1849ms

GameController/GetCount: 	1849ms

GameController/Update: 	1949ms

GameController/GetCount: 	1949ms

GameController/Update: 	3785ms

GameController/Index: 	3947ms

GameController/GetCount: 	3948ms

GameController/Details: 	4002ms

GameController/GetCount: 	4002ms

GameController/Details: 	4052ms

GameController/GetCount: 	4053ms

GameController/Update: 	4146ms

GameController/GetCount: 	4146ms

GameController/Update: 	4214ms

GameController/GetCount: 	4254ms

GameController/Index: 	1579ms

GameController/GetCount: 	1630ms

GameController/Index: 	1752ms

GameController/GetCount: 	1798ms

GameController/Index: 	1855ms

