GameController/Index: 	6083ms

GameController/GetCount: 	6112ms

GameController/Details: 	6146ms

GameController/GetCount: 	6147ms

GameController/Update: 	6234ms

GameController/GetCount: 	6235ms

GameController/Index: 	3034ms

GameController/GetCount: 	3060ms

GameController/Index: 	3214ms

GameController/GetCount: 	3241ms

GameController/Index: 	3096ms

GameController/GetCount: 	3123ms

GameController/Index: 	3242ms

GameController/GetCount: 	3269ms

GameController/Index: 	2936ms

GameController/GetCount: 	2963ms

GameController/Index: 	3319ms

GameController/GetCount: 	3347ms

GameController/Update: 	3413ms

GameController/GetCount: 	3414ms

GameController/Index: 	3463ms

GameController/GetCount: 	3490ms

GameController/Update: 	3967ms

GameController/Index: 	4072ms

GameController/GetCount: 	4073ms

GameController/Index: 	3769ms

GameController/GetCount: 	3818ms

GameController/Index: 	3248ms

GameController/GetCount: 	3275ms

GameController/Index: 	3644ms

GameController/GetCount: 	3674ms

GameController/Index: 	3222ms

GameController/GetCount: 	3252ms

GameController/Index: 	7510ms

GameController/GetCount: 	7547ms

GameController/Details: 	7575ms

GameController/GetCount: 	7576ms

CommentController/Index: 	8128ms

GameController/GetCount: 	8128ms

CommentController/Index: 	8851ms

CommentController/Index: 	8857ms

GameController/GetCount: 	8858ms

CommentController/Index: 	8894ms

CommentController/Index: 	8901ms

GameController/GetCount: 	8901ms

CommentController/Index: 	8913ms

GameController/GetCount: 	8914ms

CommentController/Index: 	8918ms

GameController/GetCount: 	8919ms

CommentController/Index: 	8924ms

GameController/GetCount: 	8925ms

GameController/Index: 	10307ms

GameController/GetCount: 	10349ms

GameController/Details: 	10385ms

GameController/GetCount: 	10395ms

CommentController/Index: 	10433ms

GameController/GetCount: 	10433ms

CommentController/Index: 	44989ms

CommentController/Index: 	44998ms

GameController/GetCount: 	44998ms

GameController/Index: 	4263ms

GameController/GetCount: 	4293ms

GameController/Details: 	4328ms

GameController/GetCount: 	4329ms

CommentController/Index: 	4381ms

GameController/GetCount: 	4382ms

GameController/Index: 	4150ms

GameController/GetCount: 	4185ms

GameController/Details: 	4211ms

GameController/GetCount: 	4212ms

CommentController/Index: 	4256ms

GameController/GetCount: 	4256ms

CommentController/Index: 	14240ms

CommentController/Index: 	14244ms

GameController/GetCount: 	14245ms

CommentController/Index: 	14249ms

GameController/GetCount: 	14249ms

CommentController/Index: 	14253ms

GameController/GetCount: 	14254ms

CommentController/Index: 	84622ms

CommentController/Index: 	84634ms

GameController/GetCount: 	84644ms

GameController/Index: 	3813ms

GameController/GetCount: 	3842ms

GameController/Details: 	3868ms

GameController/GetCount: 	3869ms

CommentController/Index: 	3890ms

GameController/GetCount: 	3891ms

CommentController/Index: 	12176ms

CommentController/Index: 	12180ms

GameController/GetCount: 	12181ms

CommentController/Index: 	12191ms

GameController/GetCount: 	12191ms

CommentController/Index: 	12199ms

GameController/GetCount: 	12200ms

CommentController/Index: 	12210ms

GameController/GetCount: 	12211ms

GameController/Index: 	15165ms

GameController/GetCount: 	15240ms

GameController/Details: 	15265ms

GameController/GetCount: 	15266ms

CommentController/Index: 	15372ms

GameController/GetCount: 	15373ms

CommentController/Index: 	60795ms

CommentController/Index: 	60809ms

GameController/GetCount: 	60822ms

GameController/Index: 	4203ms

GameController/GetCount: 	4231ms

GameController/Index: 	3477ms

GameController/GetCount: 	3538ms

GameController/Details: 	3567ms

GameController/GetCount: 	3568ms

CommentController/Index: 	3715ms

GameController/GetCount: 	3716ms

CommentController/Index: 	9232ms

CommentController/Index: 	9247ms

GameController/GetCount: 	9247ms

CommentController/Index: 	13053ms

CommentController/Index: 	13083ms

GameController/GetCount: 	13084ms

GameController/Index: 	3627ms

GameController/GetCount: 	3653ms

GameController/Details: 	3682ms

GameController/GetCount: 	3683ms

CommentController/Index: 	3717ms

GameController/GetCount: 	3718ms

CommentController/Index: 	16715ms

CommentController/Index: 	16757ms

GameController/GetCount: 	16758ms

CommentController/Index: 	16788ms

CommentController/Index: 	16802ms

GameController/GetCount: 	16802ms

CommentController/Index: 	16848ms

CommentController/Index: 	16864ms

GameController/GetCount: 	16865ms

CommentController/Index: 	16881ms

CommentController/Index: 	16900ms

GameController/GetCount: 	16901ms

GameController/Index: 	5884ms

GameController/GetCount: 	5963ms

GameController/Index: 	4444ms

GameController/GetCount: 	4470ms

GameController/Index: 	4247ms

GameController/GetCount: 	4273ms

CommentController/Index: 	5931ms

GameController/GetCount: 	5932ms

CommentController/Index: 	6287ms

GameController/Index: 	3551ms

GameController/GetCount: 	3578ms

GameController/Details: 	3609ms

GameController/GetCount: 	3609ms

CommentController/Index: 	43155ms
