GameController/Index: 	2084ms

GameController/GetCount: 	2361ms

GameController/Index: 	768ms

GameController/GetCount: 	782ms

GameController/Index: 	699ms

GameController/Index: 	802ms

GameController/Index: 	891ms

GameController/Index: 	982ms

GameController/Index: 	1072ms

GameController/Index: 	1186ms

GameController/Index: 	1277ms

GameController/Index: 	1366ms

GameController/Index: 	1449ms

GameController/Index: 	1536ms

GameController/Index: 	1622ms

GameController/Index: 	1710ms

GameController/Index: 	1802ms

GameController/Index: 	1890ms

GameController/Index: 	1978ms

GameController/Index: 	2064ms

GameController/Index: 	2182ms

GameController/Index: 	2270ms

GameController/Index: 	2357ms

GameController/Index: 	2448ms

GameController/Index: 	2536ms

GameController/Index: 	2632ms

GameController/Index: 	2718ms

GameController/Index: 	2808ms

GameController/Index: 	2897ms

GameController/Index: 	3015ms

GameController/Index: 	3106ms

GameController/Index: 	3195ms

GameController/Index: 	3279ms

GameController/Index: 	3364ms

GameController/Index: 	3452ms

GameController/Index: 	3539ms

GameController/Index: 	3627ms

GameController/Index: 	3717ms

GameController/Index: 	3803ms

GameController/Index: 	3892ms

GameController/Index: 	3977ms

GameController/Index: 	4061ms

GameController/Index: 	4148ms

GameController/Index: 	4238ms

GameController/Index: 	4324ms

GameController/Index: 	4413ms

GameController/Index: 	4513ms

GameController/Index: 	4604ms

GameController/Index: 	4694ms

GameController/Index: 	4781ms

GameController/Index: 	4866ms

GameController/Index: 	4956ms

GameController/Index: 	5046ms

GameController/Index: 	5137ms

GameController/Index: 	5222ms

GameController/Index: 	5308ms

GameController/Index: 	5395ms

GameController/Index: 	5524ms

GameController/Index: 	5614ms

GameController/Index: 	5700ms

GameController/Index: 	5789ms

GameController/Index: 	5941ms

GameController/Index: 	6028ms

GameController/Index: 	6116ms

GameController/Index: 	6207ms

GameController/Index: 	6296ms

GameController/Index: 	6380ms

GameController/Index: 	766ms

GameController/Index: 	976ms

GameController/Index: 	1163ms

GameController/Index: 	1348ms

GameController/Index: 	1547ms

GameController/Index: 	1745ms

GameController/Index: 	1937ms

GameController/Index: 	2131ms

GameController/Index: 	2329ms

GameController/Index: 	2524ms

GameController/Index: 	2736ms

GameController/Index: 	2934ms

GameController/Index: 	3114ms

GameController/Index: 	3311ms

GameController/Index: 	3510ms

GameController/Index: 	3706ms

GameController/Index: 	3902ms

GameController/Index: 	4095ms

GameController/Index: 	4304ms

GameController/Index: 	4508ms

GameController/Index: 	4703ms

GameController/Index: 	4805ms

GameController/Index: 	4900ms

GameController/Index: 	4993ms

GameController/Index: 	5077ms

GameController/Index: 	5169ms

GameController/Index: 	5266ms

GameController/Index: 	5353ms

GameController/Index: 	5439ms

GameController/Index: 	5531ms

GameController/Index: 	5624ms

GameController/Index: 	5711ms

GameController/Index: 	5797ms

GameController/Index: 	5889ms

GameController/Index: 	5976ms

GameController/Index: 	6064ms

GameController/Index: 	6154ms

GameController/Index: 	6248ms

GameController/Index: 	6333ms

GameController/Index: 	6423ms

GameController/Index: 	6510ms

GameController/Index: 	6615ms

GameController/Index: 	19342ms

GameController/Index: 	15232ms

GameController/Index: 	2388ms

GameController/GetCount: 	2401ms

GameController/Index: 	5217ms

GameController/GetCount: 	5218ms

GameController/Index: 	5317ms

GameController/GetCount: 	5318ms

GameController/Index: 	5412ms

GameController/GetCount: 	5413ms

GameController/Index: 	5514ms

GameController/GetCount: 	5515ms

GameController/Index: 	5617ms

GameController/GetCount: 	5617ms

GameController/Index: 	5728ms

GameController/GetCount: 	5738ms

GameController/Index: 	809ms

GameController/GetCount: 	825ms

GameController/Index: 	937ms

GameController/GetCount: 	937ms

GameController/Index: 	1035ms

GameController/GetCount: 	1036ms

GameController/Index: 	1137ms

GameController/GetCount: 	1138ms

GameController/Index: 	1233ms

GameController/GetCount: 	1234ms

GameController/Index: 	894ms

GameController/GetCount: 	907ms

GameController/Index: 	6989ms

GameController/GetCount: 	7002ms

GameController/Index: 	13839ms

GameController/GetCount: 	13840ms

GameController/Index: 	16344ms

GameController/GetCount: 	16345ms

GameController/Index: 	16485ms

GameController/GetCount: 	16486ms

GameController/Index: 	16539ms

GameController/GetCount: 	16540ms

GameController/Index: 	16597ms

GameController/GetCount: 	16598ms

GameController/Index: 	16652ms

GameController/GetCount: 	16652ms

GameController/Index: 	683ms

GameController/GetCount: 	697ms

GameController/Index: 	791ms

GameController/GetCount: 	804ms

GameController/Index: 	1581ms

GameController/GetCount: 	1596ms

AccountController/Logout: 	1597ms

GameController/Index: 	1703ms

GameController/GetCount: 	1704ms

GameController/Index: 	1452ms

GameController/GetCount: 	1483ms

GameController/Index: 	1811ms

GameController/GetCount: 	1863ms

PaymentController/paycard: 	1870ms

GameController/GetCount: 	1912ms

PaymentController/paycard: 	3919ms

GameController/GetCount: 	3920ms

PaymentController/paycard: 	11106ms

GameController/GetCount: 	11106ms

PaymentController/paycard: 	14208ms

GameController/Index: 	14309ms

GameController/GetCount: 	14316ms

PaymentController/paycard: 	16190ms

GameController/GetCount: 	16199ms

